store_Id,user_id,name,vicinity,Features
217,1197,Hampton Inn & Suites New Haven - South - West Haven,"510 Saw Mill Road, West Haven","bank,finance,point_of_interest,establishment"
1472,1428,Courtyard by Marriott New Haven Orange/Milford,"136 Marsh Hill Road, Orange","bank,finance,point_of_interest,establishment"
159,1464,Super 8 by Wyndham West Haven,"7 Kimberly Avenue, West Haven","bank,finance,point_of_interest,establishment"
1229,1090,University of New Haven,"300 Boston Post Road, West Haven","bank,finance,point_of_interest,establishment"
1052,1254,Best Western Executive Hotel Of New Haven-West Haven,"490 Saw Mill Road, West Haven","bank,atm,finance,point_of_interest,establishment"
2227,1144,City Point Historic District,New Haven,"bank,finance,point_of_interest,establishment"
1352,1010,Texas Roadhouse,"524 Saw Mill Road, West Haven","bank,atm,finance,point_of_interest,establishment"
785,1194,Econo Lodge,"370 Highland Street, West Haven","bank,atm,finance,point_of_interest,establishment"
1239,1447,"MY SWEET TOOTH, LLC","Paul Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1885,1229,Wells Fargo Bank,"297 Boston Post Road, Orange","bank,atm,finance,point_of_interest,establishment"
1502,1065,Kohls,"250 Bull Hill Lane, Orange","bank,finance,point_of_interest,establishment"
49,1118,"Dr. Dolores Vojvoda, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
130,1359,Fine Diane Lynn MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1219,1119,West Haven High School,"1 Mcdonough Plz, 1 Mcdonough Plz, West Haven","bank,finance,point_of_interest,establishment"
2132,1430,"Dr. Richard E. Kravitz, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
2010,1166,"Dr. Hitender Jain, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
2162,1452,Brewer Judson A MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
2016,1278,"Dr. Roberto J. Groszmann, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
694,1013,West Haven,West Haven,"bank,atm,finance,point_of_interest,establishment"
797,1165,VA Medical Center-West Haven: Smith Brian R MD,"950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
34,1080,"Dr. Linda S. Godleski, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
149,1462,"Dr. Marisa J. Lomanto, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1100,1013,"Dr. Ann M. Rasmusson, MD","950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1840,1376,Va Medical Center-West Haven: Tormey Christopher MD,"950 Campbell Avenue, West Haven","bank,atm,finance,point_of_interest,establishment"
1304,1316,"Dr. Mona Zain, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
1293,1045,"Dr. Ismene L. Petrakis, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
815,1173,"Dr. Mohini Ranganathan, MD","950 Campbell Avenue, West Haven","bank,finance,point_of_interest,establishment"
